N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
390,林業,りんぎょう,1.486,논설·행정,3.17,N1,논설·행정143회/16문서(z+1.49); 일반빈도낮음→장르부상
391,徴収,ちょうしゅう,1.483,논설·행정,3.86,N1,논설·행정237회/22문서(z+1.48) 법률87회/4문서(z+1.31); 일반빈도낮음→장르부상
392,健やか,すこやか,1.479,논설·행정,3.22,N1,논설·행정54회/16문서(z+1.48); 일반빈도낮음→장르부상
393,強まる,つよまる,1.477,논설·행정,3.18,N1,논설·행정49회/16문서(z+1.48) 행정백서7회/6문서(z+1.20) 학술8회/6문서(z+1.09); 일반빈도낮음→장르부상
394,従来,じゅうらい,1.471,논설·행정,4.41,N1,논설·행정826회/24문서(z+1.47) 학술84회/41문서(z+0.73) 행정백서17회/13문서(z-0.29) 법률5회/2문서(z-1.46)
395,酪農,らくのう,1.469,논설·행정,3.16,N1,논설·행정141회/12문서(z+1.47); 일반빈도낮음→장르부상
396,利潤,りじゅん,1.467,행정백서,2.67,N1,행정백서31회/7문서(z+1.47) 학술20회/8문서(z+0.93) 논설·행정40회/13문서(z+0.57); 일반빈도낮음→장르부상
397,緩和,かんわ,1.462,논설·행정,4.18,N1,논설·행정1094회/24문서(z+1.46) 행정백서128회/33문서(z+1.03) 학술83회/15문서(z+0.51)
398,対処,たいしょ,1.461,논설·행정,4.47,N1,논설·행정934회/24문서(z+1.46) 학술31회/19문서(z-0.10) 행정백서10회/9문서(z-0.80) 법률5회/3문서(z-1.55)
399,施設,しせつ,1.46,논설·행정,5.02,N1,논설·행정3320회/24문서(z+1.46) 법률110회/10문서(z-0.33) 행정백서21회/12문서(z-1.20) 학술15회/9문서(z-1.57)
400,覆す,くつがえす,1.457,논설·행정,3.3,N1,논설·행정63회/16문서(z+1.46) 학술7회/7문서(z+0.78); 일반빈도낮음→장르부상
401,制裁,せいさい,1.455,논설·행정,3.8,N1,논설·행정198회/19문서(z+1.45) 학술10회/5문서(z+0.20) 법률4회/2문서(z-0.67); 일반빈도낮음→장르부상
402,危機,きき,1.452,논설·행정,4.59,N1,논설·행정1216회/24문서(z+1.45) 행정백서68회/15문서(z+0.45) 학술51회/25문서(z+0.06)
403,背く,そむく,1.452,문학,2.69,N1,문학8회/4문서(z+1.45) 논설·행정5회/4문서(z+0.69); 일반빈도낮음→장르부상
404,名簿,めいぼ,1.449,법률,3.84,N1,법률103회/7문서(z+1.45) 논설·행정162회/15문서(z+1.26); 일반빈도낮음→장르부상
405,司る,つかさどる,1.446,법률,3.13,N1,법률20회/5문서(z+1.45) 논설·행정40회/15문서(z+1.42); 일반빈도낮음→장르부상
406,還元,かんげん,1.445,학술,4.1,N1,학술108회/26문서(z+1.44) 논설·행정168회/21문서(z+0.88) 행정백서13회/8문서(z+0.05)
407,階層,かいそう,1.443,학술,3.74,N1,학술47회/20문서(z+1.44) 행정백서27회/15문서(z+1.24) 논설·행정35회/14문서(z+0.37); 일반빈도낮음→장르부상
408,宜しく,よろしく,1.441,논설·행정,3.99,N1,논설·행정2388회/24문서(z+1.44) 문학6회/4문서(z-2.52); 일반빈도낮음→장르부상
409,訴え,うったえ,1.441,법률,4.38,N1,법률353회/11문서(z+1.44) 논설·행정62회/16문서(z-0.24) 학술7회/4문서(z-1.05)
410,大方,おおかた,1.44,문학,3.21,N1,문학26회/4문서(z+1.44) 논설·행정17회/12문서(z+0.71); 일반빈도낮음→장르부상
411,聞き取り,ききとり,1.437,논설·행정,3.36,N1,논설·행정70회/20문서(z+1.44); 일반빈도낮음→장르부상
412,冴える,さえる,1.434,문학,2.4,N1,문학4회/2문서(z+1.43); 일반빈도낮음→장르부상
413,投入,とうにゅう,1.431,행정백서,4.25,N1,행정백서112회/24문서(z+1.43) 논설·행정224회/23문서(z+0.84) 학술14회/5문서(z-0.32)
414,手法,しゅほう,1.427,학술,4.43,N1,학술225회/65문서(z+1.43) 논설·행정411회/23문서(z+0.97) 행정백서42회/15문서(z+0.37)
415,据え付ける,すえつける,1.424,논설·행정,1.25,N1,논설·행정3회/3문서(z+1.42); 일반빈도낮음→장르부상
416,動き,うごき,1.422,행정백서,4.84,N1,행정백서430회/44문서(z+1.42) 논설·행정651회/24문서(z+0.64) 학술47회/32문서(z-0.42)
417,収集,しゅうしゅう,1.42,논설·행정,4.39,N1,논설·행정730회/24문서(z+1.42) 학술38회/18문서(z+0.18) 법률25회/5문서(z-0.35) 행정백서9회/8문서(z-0.74)
418,宣言,せんげん,1.414,논설·행정,4.52,N1,논설·행정978회/24문서(z+1.41) 행정백서104회/16문서(z+0.90) 학술52회/13문서(z+0.19) 법률31회/4문서(z-0.40)
419,共稼ぎ,ともかせぎ,1.411,논설·행정,1.41,N1,논설·행정5회/4문서(z+1.41); 일반빈도낮음→장르부상
420,救済,きゅうさい,1.409,논설·행정,4.03,N1,논설·행정314회/21문서(z+1.41) 법률37회/3문서(z+0.47) 학술11회/6문서(z-0.12)
421,介護,かいご,1.408,논설·행정,4.43,N1,논설·행정2630회/24문서(z+1.41) 행정백서21회/12문서(z-1.08) 학술9회/5문서(z-1.83)
422,築く,きずく,1.402,논설·행정,3.62,N1,논설·행정121회/24문서(z+1.40) 학술21회/13문서(z+1.05); 일반빈도낮음→장르부상
423,国産,こくさん,1.401,논설·행정,4.08,N1,논설·행정348회/23문서(z+1.40)
424,増強,ぞうきょう,1.401,논설·행정,3.79,N1,논설·행정179회/20문서(z+1.40) 학술10회/4문서(z+0.22) 행정백서7회/5문서(z+0.12); 일반빈도낮음→장르부상
425,権限,けんげん,1.396,논설·행정,4.33,N1,논설·행정616회/24문서(z+1.40) 법률233회/14문서(z+1.24) 학술25회/5문서(z-0.02)
426,拒絶,きょぜつ,1.394,법률,3.9,N1,법률109회/6문서(z+1.39) 학술6회/4문서(z-0.35) 논설·행정14회/7문서(z-0.49); 일반빈도낮음→장르부상
427,伝達,でんたつ,1.393,학술,3.83,N1,학술54회/19문서(z+1.39) 논설·행정142회/20문서(z+1.18); 일반빈도낮음→장르부상
428,恐らく,おそらく,1.392,논설·행정,4.08,N1,논설·행정993회/22문서(z+1.39) 문학19회/5문서(z-1.07) 학술9회/7문서(z-1.13)
429,親しむ,したしむ,1.391,논설·행정,2.69,N1,논설·행정14회/10문서(z+1.39); 일반빈도낮음→장르부상
430,揺らぐ,ゆらぐ,1.39,논설·행정,2.96,N1,논설·행정26회/13문서(z+1.39); 일반빈도낮음→장르부상
431,株式,かぶしき,1.385,논설·행정,4.25,N1,논설·행정504회/22문서(z+1.38) 행정백서25회/9문서(z+0.29) 학술12회/10문서(z-0.43)
432,声明,せいめい,1.383,논설·행정,4.03,N1,논설·행정302회/23문서(z+1.38) 학술5회/3문서(z-0.70)
433,秩序,ちつじょ,1.38,학술,3.97,N1,학술84회/20문서(z+1.38) 논설·행정238회/23문서(z+1.22) 법률23회/9문서(z+0.15); 일반빈도낮음→장르부상
434,察する,さっする,1.379,문학,2.83,N1,문학10회/4문서(z+1.38) 논설·행정8회/6문서(z+0.79); 일반빈도낮음→장르부상
435,市街,しがい,1.378,논설·행정,3.6,N1,논설·행정194회/22문서(z+1.38); 일반빈도낮음→장르부상
436,募る,つのる,1.376,논설·행정,3.27,N1,논설·행정52회/18문서(z+1.38) 문학4회/3문서(z-0.05); 일반빈도낮음→장르부상
437,平方,へいほう,1.376,논설·행정,3.27,N1,논설·행정52회/13문서(z+1.38) 학술5회/4문서(z+0.59); 일반빈도낮음→장르부상
438,産物,さんぶつ,1.374,학술,3.5,N1,학술50회/18문서(z+1.37) 논설·행정17회/8문서(z-0.22); 일반빈도낮음→장르부상
439,改修,かいしゅう,1.372,논설·행정,3.97,N1,논설·행정259회/23문서(z+1.37); 일반빈도낮음→장르부상
440,紛争,ふんそう,1.371,논설·행정,3.93,N1,논설·행정236회/22문서(z+1.37) 학술54회/7문서(z+1.22) 법률21회/6문서(z+0.24) 행정백서6회/3문서(z-0.24); 일반빈도낮음→장르부상
441,国防,こくぼう,1.37,논설·행정,3.81,N1,논설·행정179회/22문서(z+1.37) 학술6회/4문서(z-0.19); 일반빈도낮음→장르부상
442,普遍,ふへん,1.37,학술,3.68,N1,학술158회/30문서(z+1.37) 논설·행정92회/21문서(z+0.14); 일반빈도낮음→장르부상
443,革新,かくしん,1.369,논설·행정,3.98,N1,논설·행정264회/23문서(z+1.37) 행정백서29회/11문서(z+0.88) 학술17회/12문서(z+0.29); 일반빈도낮음→장르부상
444,判決,はんけつ,1.368,법률,4.37,N1,법률309회/12문서(z+1.37) 논설·행정511회/21문서(z+1.21) 학술88회/8문서(z+0.84)
445,給食,きゅうしょく,1.367,논설·행정,3.94,N1,논설·행정240회/17문서(z+1.37); 일반빈도낮음→장르부상
446,優越,ゆうえつ,1.365,논설·행정,3.3,N1,논설·행정55회/12문서(z+1.37) 학술11회/6문서(z+1.12); 일반빈도낮음→장르부상
447,停滞,ていたい,1.363,행정백서,3.62,N1,행정백서24회/12문서(z+1.36) 논설·행정82회/21문서(z+1.14) 학술11회/9문서(z+0.58); 일반빈도낮음→장르부상
448,柱,はしら,1.362,논설·행정,4.18,N1,논설·행정413회/24문서(z+1.36) 문학22회/6문서(z-0.34) 행정백서7회/6문서(z-0.56) 학술6회/6문서(z-0.82)
449,背負う,せおう,1.361,논설·행정,3.39,N1,논설·행정67회/20문서(z+1.36) 문학8회/3문서(z+0.26); 일반빈도낮음→장르부상
450,共産,きょうさん,1.358,논설·행정,4.04,N1,논설·행정533회/24문서(z+1.36) 학술29회/10문서(z+0.15)
451,主題,しゅだい,1.356,학술,3.5,N1,학술24회/10문서(z+1.36) 논설·행정4회/4문서(z-0.72); 일반빈도낮음→장르부상
452,云々,うんぬん,1.354,논설·행정,3.78,N1,논설·행정163회/21문서(z+1.35); 일반빈도낮음→장르부상
453,提示,ていじ,1.349,논설·행정,4.25,N1,논설·행정478회/24문서(z+1.35) 학술69회/32문서(z+0.86) 법률59회/12문서(z+0.44) 행정백서9회/8문서(z-0.49)
454,作用,さよう,1.345,학술,4.4,N1,학술188회/55문서(z+1.35) 논설·행정108회/18문서(z+0.11) 행정백서5회/4문서(z-1.20)
455,偽造,ぎぞう,1.344,법률,3.77,N1,법률75회/4문서(z+1.34) 논설·행정25회/7문서(z+0.10) 학술8회/3문서(z+0.09); 일반빈도낮음→장르부상
456,成り立つ,なりたつ,1.339,학술,3.61,N1,학술70회/35문서(z+1.34) 논설·행정227회/23문서(z+1.28); 일반빈도낮음→장르부상
457,本文,ほんぶん,1.337,법률,4.0,N1,법률126회/14문서(z+1.34) 논설·행정31회/7문서(z-0.11) 학술4회/4문서(z-0.81) 행정백서3회/3문서(z-0.89)
458,強行,きょうこう,1.336,논설·행정,3.69,N1,논설·행정129회/22문서(z+1.34) 학술6회/2문서(z+0.01); 일반빈도낮음→장르부상
459,途絶える,とだえる,1.328,논설·행정,2.84,N1,논설·행정18회/9문서(z+1.33); 일반빈도낮음→장르부상
460,切開,せっかい,1.323,논설·행정,3.25,N1,논설·행정46회/5문서(z+1.32); 일반빈도낮음→장르부상
461,口述,こうじゅつ,1.323,법률,2.51,N1,법률4회/2문서(z+1.32); 일반빈도낮음→장르부상
462,風車,かざぐるま,1.322,논설·행정,3.19,N1,논설·행정40회/6문서(z+1.32); 일반빈도낮음→장르부상
463,痛感,つうかん,1.319,논설·행정,3.52,N1,논설·행정102회/20문서(z+1.32); 일반빈도낮음→장르부상
464,孤立,こりつ,1.318,논설·행정,3.96,N1,논설·행정234회/22문서(z+1.32) 학술6회/5문서(z-0.45); 일반빈도낮음→장르부상
465,切り替える,きりかえる,1.317,논설·행정,3.56,N1,논설·행정93회/20문서(z+1.32); 일반빈도낮음→장르부상
466,岩石,がんせき,1.316,학술,3.06,N1,학술19회/4문서(z+1.32) 논설·행정4회/3문서(z-0.60); 일반빈도낮음→장르부상
467,膜,まく,1.31,학술,4.05,N1,학술80회/10문서(z+1.31) 논설·행정4회/2문서(z-1.57)
468,最善,さいぜん,1.305,논설·행정,3.7,N1,논설·행정126회/23문서(z+1.30) 학술10회/5문서(z+0.37); 일반빈도낮음→장르부상
469,漏らす,もらす,1.302,법률,3.37,N1,법률28회/10문서(z+1.30) 논설·행정41회/11문서(z+1.06) 문학6회/3문서(z+0.08); 일반빈도낮음→장르부상
470,品種,ひんしゅ,1.299,논설·행정,3.98,N1,논설·행정238회/8문서(z+1.30) 학술4회/3문서(z-0.78); 일반빈도낮음→장르부상
471,保護,ほご,1.298,논설·행정,5.01,N1,논설·행정2540회/24문서(z+1.30) 학술168회/29문서(z+0.23) 법률71회/13문서(z-0.60) 행정백서11회/6문서(z-1.67) 문학8회/3문서(z-2.51)
472,側面,そくめん,1.298,학술,4.18,N1,학술106회/47문서(z+1.30) 논설·행정258회/21문서(z+1.04) 행정백서35회/17문서(z+0.67)
473,見掛ける,みかける,1.298,학술,2.47,N1,학술3회/3문서(z+1.30) 논설·행정8회/8문서(z+1.11); 일반빈도낮음→장르부상
474,辿る,たどる,1.298,논설·행정,3.29,N1,논설·행정64회/21문서(z+1.30) 학술18회/18문서(z+1.30) 행정백서7회/4문서(z+0.79) 문학7회/4문서(z+0.12); 일반빈도낮음→장르부상
475,実態,じったい,1.296,논설·행정,4.2,N1,논설·행정1970회/24문서(z+1.30) 행정백서31회/16문서(z-0.69) 학술27회/14문서(z-0.93) 법률8회/3문서(z-1.90)
476,尊ぶ,とうとぶ,1.296,논설·행정,2.45,N1,논설·행정7회/5문서(z+1.30); 일반빈도낮음→장르부상
477,権力,けんりょく,1.296,학술,4.41,N1,학술180회/21문서(z+1.30) 논설·행정83회/20문서(z-0.08) 법률5회/3문서(z-1.46)
478,戦災,せんさい,1.295,논설·행정,2.56,N1,논설·행정9회/3문서(z+1.30); 일반빈도낮음→장르부상
479,浸す,ひたす,1.292,문학,2.58,N1,문학5회/3문서(z+1.29); 일반빈도낮음→장르부상
480,固める,かためる,1.291,논설·행정,3.34,N1,논설·행정54회/18문서(z+1.29); 일반빈도낮음→장르부상
481,顎,あご,1.291,학술,4.02,N1,학술73회/61문서(z+1.29) 문학16회/5문서(z-0.31)
482,本質,ほんしつ,1.29,학술,4.18,N1,학술189회/44문서(z+1.29) 논설·행정162회/24문서(z+0.33) 행정백서4회/3문서(z-1.44)
483,洪水,こうずい,1.29,논설·행정,3.81,N1,논설·행정159회/19문서(z+1.29) 학술11회/5문서(z+0.25); 일반빈도낮음→장르부상
484,遮る,さえぎる,1.288,문학,3.03,N1,문학14회/4문서(z+1.29); 일반빈도낮음→장르부상
485,団扇,うちわ,1.286,논설·행정,2.79,N1,논설·행정33회/2문서(z+1.29); 일반빈도낮음→장르부상
486,話し合い,はなしあい,1.285,논설·행정,4.01,N1,논설·행정249회/22문서(z+1.28) 학술5회/2문서(z-0.66)
487,度々,たびたび,1.283,논설·행정,3.67,N1,논설·행정114회/23문서(z+1.28) 문학12회/3문서(z+0.08) 학술3회/2문서(z-0.47); 일반빈도낮음→장르부상
488,ぶら下げる,ぶらさげる,1.28,문학,2.49,N1,문학4회/2문서(z+1.28); 일반빈도낮음→장르부상
489,俄か,にわか,1.28,문학,2.62,N1,문학22회/3문서(z+1.28) 논설·행정17회/11문서(z+0.68); 일반빈도낮음→장르부상
490,記名,きめい,1.28,법률,3.06,N1,법률42회/9문서(z+1.28) 논설·행정17회/6문서(z+0.17); 일반빈도낮음→장르부상
491,取り戻す,とりもどす,1.278,논설·행정,3.92,N1,논설·행정201회/24문서(z+1.28) 행정백서8회/6문서(z-0.00) 학술4회/4문서(z-0.68); 일반빈도낮음→장르부상
492,割,わり,1.275,논설·행정,4.99,N1,논설·행정2352회/24문서(z+1.28) 행정백서354회/42문서(z+1.01) 학술20회/7문서(z-1.31) 문학13회/3문서(z-2.12)
493,炭素,たんそ,1.272,학술,3.73,N1,학술181회/14문서(z+1.27) 논설·행정156회/18문서(z+0.32) 행정백서20회/5문서(z-0.19); 일반빈도낮음→장르부상
494,人民,じんみん,1.27,학술,3.91,N1,학술55회/9문서(z+1.27) 논설·행정22회/11문서(z-0.20); 일반빈도낮음→장르부상
495,前例,ぜんれい,1.27,논설·행정,3.55,N1,논설·행정93회/22문서(z+1.27); 일반빈도낮음→장르부상
496,教職,きょうしょく,1.269,논설·행정,3.19,N1,논설·행정37회/9문서(z+1.27) 학술3회/2문서(z+0.35); 일반빈도낮음→장르부상
497,点検,てんけん,1.268,논설·행정,3.87,N1,논설·행정386회/23문서(z+1.27) 행정백서11회/6문서(z-0.27); 일반빈도낮음→장르부상
498,繁栄,はんえい,1.267,논설·행정,3.8,N1,논설·행정150회/20문서(z+1.27) 학술12회/7문서(z+0.34); 일반빈도낮음→장르부상
499,共,とも,1.265,논설·행정,4.63,N1,논설·행정4031회/24문서(z+1.26) 행정백서285회/49문서(z+0.42) 학술152회/74문서(z-0.22) 법률132회/14문서(z-0.53) 문학37회/6문서(z-1.76)
500,燃料,ねんりょう,1.264,논설·행정,4.5,N1,논설·행정748회/24문서(z+1.26) 학술64회/7문서(z+0.38) 행정백서21회/8문서(z-0.28) 법률5회/5문서(z-1.60)
501,訂正,ていせい,1.262,법률,3.99,N1,법률110회/2문서(z+1.26) 논설·행정165회/20문서(z+1.04) 학술8회/3문서(z-0.29); 일반빈도낮음→장르부상
502,待遇,たいぐう,1.257,논설·행정,3.92,N1,논설·행정195회/24문서(z+1.26) 행정백서33회/6문서(z+1.08) 법률4회/3문서(z-0.85) 문학4회/2문서(z-1.17); 일반빈도낮음→장르부상
503,適性,てきせい,1.256,논설·행정,3.5,N1,논설·행정74회/13문서(z+1.26); 일반빈도낮음→장르부상
504,実践,じっせん,1.254,학술,4.27,N1,학술123회/27문서(z+1.25) 논설·행정177회/21문서(z+0.65) 행정백서7회/5문서(z-0.72)
505,漁船,ぎょせん,1.254,논설·행정,3.53,N1,논설·행정119회/15문서(z+1.25); 일반빈도낮음→장르부상
506,規範,きはん,1.254,학술,3.69,N1,학술88회/20문서(z+1.25) 논설·행정142회/20문서(z+0.72); 일반빈도낮음→장르부상
507,出鱈目,でたらめ,1.25,논설·행정,2.54,N1,논설·행정32회/10문서(z+1.25) 문학5회/2문서(z+0.33); 일반빈도낮음→장르부상
508,傍ら,かたわら,1.248,문학,3.37,N1,문학29회/5문서(z+1.25) 논설·행정5회/5문서(z-0.36); 일반빈도낮음→장르부상
509,達成,たっせい,1.246,논설·행정,4.68,N1,논설·행정1105회/24문서(z+1.25) 학술51회/23문서(z-0.09) 행정백서38회/14문서(z-0.15) 법률18회/5문서(z-1.02)
510,階級,かいきゅう,1.244,행정백서,4.12,N1,행정백서65회/12문서(z+1.24) 학술57회/15문서(z+0.94) 논설·행정24회/10문서(z-0.47)
511,東,ひがし,1.243,논설·행정,4.77,N1,논설·행정1353회/24문서(z+1.24) 행정백서29회/13문서(z-0.51) 학술18회/12문서(z-1.01) 문학7회/4문서(z-2.20)
512,相応しい,ふさわしい,1.243,논설·행정,3.69,N1,논설·행정200회/23문서(z+1.24) 학술13회/5문서(z+0.16) 법률3회/2문서(z-1.07); 일반빈도낮음→장르부상
513,一言,ひとこと,1.242,논설·행정,4.46,N1,논설·행정660회/24문서(z+1.24) 문학27회/4문서(z-0.67) 학술3회/3문서(z-1.81)
514,分裂,ぶんれつ,1.241,학술,4.0,N1,학술65회/13문서(z+1.24) 논설·행정13회/7문서(z-0.70)
515,敢えて,あえて,1.234,논설·행정,3.69,N1,논설·행정376회/24문서(z+1.23) 문학11회/4문서(z-0.93); 일반빈도낮음→장르부상
516,養成,ようせい,1.231,논설·행정,3.89,N1,논설·행정175회/18문서(z+1.23) 학술5회/5문서(z-0.46) 법률4회/2문서(z-0.80); 일반빈도낮음→장르부상
517,埋まる,うまる,1.23,논설·행정,3.26,N1,논설·행정41회/16문서(z+1.23) 문학5회/2문서(z+0.13); 일반빈도낮음→장르부상
518,確定,かくてい,1.23,법률,4.66,N1,법률491회/12문서(z+1.23) 논설·행정407회/23문서(z+0.60) 학술30회/15문서(z-0.45) 행정백서13회/5문서(z-0.93)
519,水田,すいでん,1.229,논설·행정,3.29,N1,논설·행정172회/15문서(z+1.23); 일반빈도낮음→장르부상
520,変遷,へんせん,1.228,학술,3.45,N1,학술18회/12문서(z+1.23) 논설·행정21회/12문서(z+0.48); 일반빈도낮음→장르부상
521,教員,きょういん,1.226,논설·행정,4.14,N1,논설·행정443회/22문서(z+1.23) 행정백서15회/3문서(z-0.18) 학술5회/4문서(z-1.15) 문학4회/2문서(z-1.81)
522,廃れる,すたれる,1.224,논설·행정,2.43,N1,논설·행정6회/5문서(z+1.22); 일반빈도낮음→장르부상
523,擦れ違い,すれちがい,1.224,논설·행정,1.5,N1,논설·행정5회/4문서(z+1.22); 일반빈도낮음→장르부상
524,一連,いちれん,1.223,논설·행정,4.04,N1,논설·행정245회/24문서(z+1.22) 학술36회/23문서(z+0.74) 행정백서6회/5문서(z-0.44)
525,閲覧,えつらん,1.222,학술,4.65,N1,학술283회/11문서(z+1.22) 법률185회/10문서(z+0.59) 논설·행정92회/13문서(z-0.39)
526,小切手,こぎって,1.221,법률,3.18,N1,법률16회/3문서(z+1.22); 일반빈도낮음→장르부상
527,概略,がいりゃく,1.221,논설·행정,3.21,N1,논설·행정36회/16문서(z+1.22) 학술3회/3문서(z+0.32); 일반빈도낮음→장르부상
528,件,けん,1.22,논설·행정,5.21,N1,논설·행정3596회/24문서(z+1.22) 행정백서6회/4문서(z-2.49) 학술6회/3문서(z-2.57) 문학5회/2문서(z-3.21)
529,決断,けつだん,1.215,논설·행정,4.2,N1,논설·행정348회/24문서(z+1.21) 학술11회/6문서(z-0.41)
530,引き取る,ひきとる,1.213,논설·행정,3.09,N1,논설·행정27회/13문서(z+1.21) 문학11회/5문서(z+1.01); 일반빈도낮음→장르부상
531,著書,ちょしょ,1.211,학술,3.87,N1,학술78회/34문서(z+1.21) 논설·행정23회/8문서(z-0.47); 일반빈도낮음→장르부상
532,同盟,どうめい,1.209,논설·행정,4.28,N1,논설·행정417회/24문서(z+1.21) 법률13회/3문서(z-0.62) 학술7회/5문서(z-0.88)
533,滲む,にじむ,1.209,논설·행정,2.4,N1,논설·행정6회/5문서(z+1.21); 일반빈도낮음→장르부상
534,独裁,どくさい,1.208,학술,3.86,N1,학술45회/4문서(z+1.21) 논설·행정7회/5문서(z-0.90); 일반빈도낮음→장르부상
535,苦しめる,くるしめる,1.205,논설·행정,3.22,N1,논설·행정36회/13문서(z+1.20) 문학6회/4문서(z+0.33); 일반빈도낮음→장르부상
536,日当,にっとう,1.204,법률,2.94,N1,법률9회/3문서(z+1.20) 논설·행정3회/2문서(z-0.04); 일반빈도낮음→장르부상
537,衰える,おとろえる,1.204,논설·행정,2.84,N1,논설·행정15회/11문서(z+1.20) 학술4회/4문서(z+1.15); 일반빈도낮음→장르부상
538,見渡す,みわたす,1.199,논설·행정,3.03,N1,논설·행정23회/17문서(z+1.20) 문학8회/4문서(z+0.87); 일반빈도낮음→장르부상
539,連帯,れんたい,1.199,법률,3.72,N1,법률93회/6문서(z+1.20) 논설·행정79회/20문서(z+0.59) 학술7회/5문서(z-0.33); 일반빈도낮음→장르부상
540,補足,ほそく,1.196,논설·행정,3.73,N1,논설·행정115회/22문서(z+1.20) 학술4회/4문서(z-0.36); 일반빈도낮음→장르부상
541,躊躇う,ためらう,1.196,논설·행정,2.63,N1,논설·행정24회/14문서(z+1.20); 일반빈도낮음→장르부상
542,戸籍,こせき,1.194,논설·행정,3.6,N1,논설·행정85회/17문서(z+1.19); 일반빈도낮음→장르부상
543,拗れる,こじれる,1.194,논설·행정,1.6,N1,논설·행정5회/4문서(z+1.19); 일반빈도낮음→장르부상
544,腫れる,はれる,1.194,문학,2.54,N1,문학4회/4문서(z+1.19); 일반빈도낮음→장르부상
545,使命,しめい,1.189,논설·행정,4.0,N1,논설·행정212회/24문서(z+1.19)
546,融通,ゆうずう,1.189,논설·행정,3.43,N1,논설·행정57회/15문서(z+1.19); 일반빈도낮음→장르부상
547,割り当て,わりあて,1.186,논설·행정,3.74,N1,논설·행정116회/20문서(z+1.19) 법률30회/2문서(z+0.78) 행정백서3회/2문서(z-0.44); 일반빈도낮음→장르부상
548,映写,えいしゃ,1.186,논설·행정,2.72,N1,논설·행정16회/3문서(z+1.19); 일반빈도낮음→장르부상
549,種々,しゅじゅ,1.183,논설·행정,3.14,N1,논설·행정29회/17문서(z+1.18) 학술4회/4문서(z+0.65); 일반빈도낮음→장르부상
550,会見,かいけん,1.181,논설·행정,4.36,N1,논설·행정480회/24문서(z+1.18)
551,疎か,おろそか,1.181,논설·행정,2.98,N1,논설·행정20회/12문서(z+1.18); 일반빈도낮음→장르부상
552,忽ち,たちまち,1.17,문학,1.88,N1,문학25회/6문서(z+1.17) 논설·행정4회/4문서(z-0.49); 일반빈도낮음→장르부상
553,根本,こんぽん,1.17,논설·행정,4.18,N1,논설·행정311회/24문서(z+1.17) 학술55회/28문서(z+0.81)
554,行為,こうい,1.17,법률,4.91,N1,법률1630회/14문서(z+1.17) 논설·행정1281회/24문서(z+0.51) 학술370회/39문서(z+0.45) 문학10회/4문서(z-2.71)
555,発生,はっせい,1.169,논설·행정,5.05,N1,논설·행정2306회/24문서(z+1.17) 학술307회/52문서(z+0.60) 법률118회/11문서(z-0.33) 행정백서54회/21문서(z-0.53)
556,部門,ぶもん,1.169,행정백서,4.43,N1,행정백서120회/22문서(z+1.17) 논설·행정533회/20문서(z+1.14) 학술23회/15문서(z-0.25) 법률5회/3문서(z-1.49)
557,分散,ぶんさん,1.168,논설·행정,4.08,N1,논설·행정294회/24문서(z+1.17) 학술37회/11문서(z+0.56) 행정백서13회/10문서(z-0.05)
558,優先,ゆうせん,1.167,논설·행정,4.64,N1,논설·행정896회/24문서(z+1.17) 법률94회/6문서(z+0.15) 학술26회/11문서(z-0.52) 행정백서17회/9문서(z-0.69)
559,出動,しゅつどう,1.167,논설·행정,3.84,N1,논설·행정142회/24문서(z+1.17) 행정백서6회/4문서(z-0.08); 일반빈도낮음→장르부상
560,優位,ゆうい,1.166,행정백서,3.92,N1,행정백서37회/8문서(z+1.17) 학술39회/16문서(z+1.00) 논설·행정119회/21문서(z+0.92); 일반빈도낮음→장르부상
561,配置,はいち,1.166,논설·행정,4.5,N1,논설·행정647회/24문서(z+1.17) 행정백서22회/13문서(z-0.25) 학술14회/10문서(z-0.74) 법률7회/3문서(z-1.37)
562,様,よう,1.165,논설·행정,5.52,N1,논설·행정41759회/24문서(z+1.17) 학술1943회/114문서(z-0.17) 행정백서586회/54문서(z-0.92) 문학1272회/8문서(z-0.97) 법률221회/13문서(z-1.85)
563,規定,きてい,1.163,법률,4.49,N1,법률8332회/14문서(z+1.16) 논설·행정2300회/24문서(z-0.21) 학술126회/40문서(z-1.55) 행정백서18회/8문서(z-2.92)
564,倍率,ばいりつ,1.162,논설·행정,3.74,N1,논설·행정112회/19문서(z+1.16) 행정백서23회/7문서(z+1.12); 일반빈도낮음→장르부상
565,秘書,ひしょ,1.162,논설·행정,4.14,N1,논설·행정281회/24문서(z+1.16)
566,集計,しゅうけい,1.162,행정백서,3.86,N1,행정백서32회/14문서(z+1.16) 논설·행정122회/19문서(z+1.03) 학술6회/3문서(z-0.28); 일반빈도낮음→장르부상
567,存続,そんぞく,1.159,법률,3.89,N1,법률139회/11문서(z+1.16) 논설·행정103회/19문서(z+0.45) 학술8회/6문서(z-0.57) 행정백서6회/2문서(z-0.64); 일반빈도낮음→장르부상
568,取り除く,とりのぞく,1.155,논설·행정,3.61,N1,논설·행정82회/20문서(z+1.15) 학술8회/8문서(z+0.36) 행정백서4회/2문서(z+0.01) 문학3회/2문서(z-0.85); 일반빈도낮음→장르부상
