N1_후보풀_전량랭킹_방법검증_최종아님
rank,word,reading,편중도,상위장르,일반빈도zipf,tanos_tag,note
31,定まる,さだまる,2.957,학술,2.38,N1,학술16회/14문서(z+2.96) 논설·행정47회/16문서(z+2.69) 법률13회/4문서(z+2.31); 일반빈도낮음→장르부상
32,合議,ごうぎ,2.94,법률,2.8,N1,법률87회/10문서(z+2.94) 논설·행정12회/8문서(z+1.12) 학술3회/2문서(z+1.01); 일반빈도낮음→장르부상
33,雇用,こよう,2.926,행정백서,4.45,N1,행정백서1257회/52문서(z+2.93) 논설·행정3956회/24문서(z+2.47) 학술88회/11문서(z+0.70) 법률27회/8문서(z-0.39)
34,心掛ける,こころがける,2.91,논설·행정,2.31,N1,논설·행정55회/18문서(z+2.91); 일반빈도낮음→장르부상
35,設ける,もうける,2.875,논설·행정,3.65,N1,논설·행정1144회/24문서(z+2.88) 법률75회/9문서(z+1.53) 학술24회/16문서(z+1.10) 행정백서10회/8문서(z+0.64); 일반빈도낮음→장르부상
36,未だ,いまだ,2.874,논설·행정,4.04,N1,논설·행정2811회/24문서(z+2.87) 문학222회/8문서(z+1.61) 학술59회/37문서(z+1.10) 행정백서23회/14문서(z+0.59) 법률4회/5문서(z-1.04)
37,均衡,きんこう,2.869,학술,3.52,N1,학술196회/20문서(z+2.87) 논설·행정171회/20문서(z+1.79) 행정백서24회/8문서(z+1.54); 일반빈도낮음→장르부상
38,幹線,かんせん,2.867,논설·행정,3.28,N1,논설·행정483회/21문서(z+2.87) 행정백서7회/2문서(z+1.02); 일반빈도낮음→장르부상
39,緩やか,ゆるやか,2.865,행정백서,3.64,N1,행정백서180회/35문서(z+2.87) 논설·행정82회/19문서(z+1.11) 학술7회/5문서(z+0.21) 문학5회/2문서(z-0.52); 일반빈도낮음→장르부상
40,押さえる,おさえる,2.838,논설·행정,3.23,N1,논설·행정412회/24문서(z+2.84) 행정백서30회/21문서(z+2.22) 학술14회/9문서(z+1.42) 문학21회/7문서(z+1.25); 일반빈도낮음→장르부상
41,財政,ざいせい,2.835,논설·행정,4.22,N1,논설·행정4005회/24문서(z+2.84) 행정백서367회/56문서(z+2.39) 학술158회/14문서(z+1.52)
42,結び付き,むすびつき,2.829,학술,2.53,N1,학술19회/11문서(z+2.83) 행정백서4회/4문서(z+1.91) 논설·행정6회/5문서(z+1.07); 일반빈도낮음→장르부상
43,生かす,いかす,2.824,논설·행정,3.53,N1,논설·행정804회/24문서(z+2.82) 행정백서29회/16문서(z+1.67) 학술10회/10문서(z+0.66); 일반빈도낮음→장르부상
44,審議,しんぎ,2.815,논설·행정,4.18,N1,논설·행정3537회/24문서(z+2.82) 법률35회/7문서(z+0.20) 학술8회/7문서(z-0.61)
45,取り締まり,とりしまり,2.801,법률,3.35,N1,법률251회/5문서(z+2.80) 논설·행정216회/20문서(z+2.21); 일반빈도낮음→장르부상
46,原子,げんし,2.792,논설·행정,4.07,N1,논설·행정2650회/24문서(z+2.79) 학술162회/22문서(z+1.80) 행정백서14회/6문서(z+0.16) 법률7회/5문서(z-0.70)
47,徐々,じょじょ,2.785,행정백서,3.31,N1,행정백서76회/20문서(z+2.78) 논설·행정178회/22문서(z+2.14) 학술19회/15문서(z+1.50); 일반빈도낮음→장르부상
48,任す,まかす,2.782,논설·행정,2.17,N1,논설·행정33회/15문서(z+2.78); 일반빈도낮음→장르부상
49,控除,こうじょ,2.782,법률,3.53,N1,법률369회/8문서(z+2.78) 논설·행정743회/21문서(z+2.77) 행정백서12회/6문서(z+0.99); 일반빈도낮음→장르부상
50,内閣,ないかく,2.777,논설·행정,4.48,N1,논설·행정6689회/24문서(z+2.78) 행정백서449회/56문서(z+2.09) 법률364회/11문서(z+1.31) 학술27회/4문서(z-0.22)
51,上昇,じょうしょう,2.772,행정백서,4.52,N1,행정백서1206회/52문서(z+2.77) 논설·행정881회/24문서(z+1.34) 학술113회/21문서(z+0.77)
52,異議,いぎ,2.764,논설·행정,3.7,N1,논설·행정2119회/24문서(z+2.76) 법률189회/11문서(z+1.63) 학술6회/5문서(z-0.50) 문학3회/2문서(z-1.50); 일반빈도낮음→장르부상
53,高まる,たかまる,2.752,행정백서,3.86,N1,행정백서257회/47문서(z+2.75) 논설·행정513회/24문서(z+2.01) 학술28회/21문서(z+0.86); 일반빈도낮음→장르부상
54,禁ずる,きんずる,2.751,논설·행정,2.58,N1,논설·행정81회/21문서(z+2.75) 학술13회/8문서(z+2.46) 법률12회/3문서(z+1.95) 문학4회/2문서(z+1.13); 일반빈도낮음→장르부상
55,国土,こくど,2.744,논설·행정,4.07,N1,논설·행정2469회/24문서(z+2.74) 행정백서17회/8문서(z+0.31)
56,準ずる,じゅんずる,2.744,법률,2.97,N1,법률96회/11문서(z+2.74) 논설·행정95회/17문서(z+2.25) 행정백서3회/2문서(z+0.92); 일반빈도낮음→장르부상
57,顧みる,かえりみる,2.723,문학,2.19,N1,문학14회/4문서(z+2.72) 논설·행정26회/14문서(z+2.59); 일반빈도낮음→장르부상
58,返る,かえる,2.719,문학,2.79,N1,문학291회/8문서(z+2.72) 논설·행정458회/24문서(z+2.47); 일반빈도낮음→장르부상
59,実情,じつじょう,2.717,논설·행정,3.47,N1,논설·행정598회/24문서(z+2.72) 법률7회/4문서(z+0.22) 학술3회/3문서(z-0.13); 일반빈도낮음→장르부상
60,賄う,まかなう,2.712,논설·행정,2.98,N1,논설·행정192회/24문서(z+2.71) 행정백서7회/5문서(z+1.55) 학술8회/3문서(z+1.43); 일반빈도낮음→장르부상
61,庶務,しょむ,2.705,논설·행정,2.4,N1,논설·행정50회/16문서(z+2.71); 일반빈도낮음→장르부상
62,学説,がくせつ,2.7,학술,3.01,N1,학술48회/21문서(z+2.70) 논설·행정29회/10문서(z+1.39); 일반빈도낮음→장르부상
63,仕入れる,しいれる,2.682,행정백서,2.72,N1,행정백서17회/7문서(z+2.68) 논설·행정50회/10문서(z+2.21); 일반빈도낮음→장르부상
64,慎む,つつしむ,2.674,논설·행정,2.56,N1,논설·행정69회/20문서(z+2.67) 문학7회/2문서(z+1.58); 일반빈도낮음→장르부상
65,一向,いっこう,2.663,문학,2.51,N1,문학27회/4문서(z+2.66) 논설·행정26회/14문서(z+2.09); 일반빈도낮음→장르부상
